SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y or No),BRTE neighbors ,Emergence census 2 date,Emerged (Y or No),Final census date,Seeds (Y or No),Seeds produced,Total plant dry mass (g),Notes (Herbivore damage? Disease?),
GreenCanyon,S,control,1,09/09/20,12/11/2020,missing,,3/22/2021,missing,,Y,2,0.01,*no toothpick,
GreenCanyon,S,control,1.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,1.4,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,1.6,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,1.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,2.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,2.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,2.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,broken,
GreenCanyon,S,control,2.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,3,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,3.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,3.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,3.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,3.8,09/09/20,12/11/2020,N,,3/22/2021,Y,,,,,,
GreenCanyon,S,control,4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,4.2,09/09/20,12/11/2020,Y,,3/22/2021,N,,Y,10,0.01,1/10 empty seeds,
GreenCanyon,S,control,4.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,4.6,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,4.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,5,09/09/20,12/11/2020,Y,,3/22/2021,Y,,,,,,
GreenCanyon,S,control,5.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,5.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,5.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,5.8,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,6,09/09/20,12/11/2020,Y,,3/22/2021,N,,Y,3,0.01,2/3 empty seeds,
GreenCanyon,S,control,6.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,6.4,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,6.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,6.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,7,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,7.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,7.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,7.6,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,7.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,8,09/09/20,12/11/2020,Y,,3/22/2021,N,,Y,5,0.01,,
GreenCanyon,S,control,8.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,8.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,8.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,8.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,9,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,9.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,9.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,9.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,S,control,9.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,S,control,10,09/09/20,12/11/2020,Y,,3/22/2021,N,,Y,2,0.01,broken (3/22/2021); 2/2 seeds smutty,
GreenCanyon,E,removal,2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,2.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,2.4,9/8/2020,12/11/2020,N,,3/22/2021,Y,,,,,,
GreenCanyon,E,removal,2.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,Y,14,0.01,,
GreenCanyon,E,removal,2.8,9/8/2020,12/11/2020,Y,,3/22/2021,N,,Y,11,0.01,,
GreenCanyon,E,removal,3,9/8/2020,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,3.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,3.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,3.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,3.8,9/8/2020,12/11/2020,Y,,3/22/2021,N,,Y,18,0.01,,
GreenCanyon,E,removal,4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,4.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,4.4,9/8/2020,12/11/2020,N,,3/22/2021,Y,,,,,,
GreenCanyon,E,removal,4.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,4.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,5,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,5.2,9/8/2020,12/11/2020,Y,,3/22/2021,Y,,Y,9,0.01,,
GreenCanyon,E,removal,5.4,9/8/2020,12/11/2020,Y,,3/22/2021,Y,,,,,,
GreenCanyon,E,removal,5.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,5.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,6.2,9/8/2020,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,6.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,6.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,E,removal,6.8,9/8/2020,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,E,removal,7,9/8/2020,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,N,removal,2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,2.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,2.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,2.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,2.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,3,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,3.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,3.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,broken,
GreenCanyon,N,removal,3.6,9/8/2020,12/11/2020,Y,,3/22/2021,Y,,Y,54,0.11,,
GreenCanyon,N,removal,3.8,9/8/2020,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,4.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,4.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,4.6,9/8/2020,12/11/2020,N,,3/22/2021,Y,,,,,,
GreenCanyon,N,removal,4.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,5,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,5.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,5.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,5.6,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,5.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,6,9/8/2020,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,6.2,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,6.4,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,6.6,9/8/2020,12/11/2020,Y,,3/22/2021,N,,Y,21,0.01,,
GreenCanyon,N,removal,6.8,9/8/2020,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,N,removal,7,9/8/2020,12/11/2020,Y,,3/22/2021,N,,,,,,
FtK_Cottonwood_Coulee,N,control,0.2,9/9/2020,10/6/2020,N,8,5/4/2021,Y,6/9/2021,Y,28,0.01,,
FtK_Cottonwood_Coulee,N,control,0.4,9/9/2020,10/6/2020,N,8,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,0.6,9/9/2020,10/6/2020,N,9,5/4/2021,Y,6/9/2021,Y,26,0.02,,
FtK_Cottonwood_Coulee,N,control,0.8,9/9/2020,10/6/2020,N,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,1,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,1.2,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,1.4,9/9/2020,10/6/2020,N,7,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,1.6,9/9/2020,10/6/2020,N,2,5/4/2021,Y,6/9/2021,Y,15,0.01,,
FtK_Cottonwood_Coulee,N,control,1.8,9/9/2020,10/6/2020,N,1,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,2,9/9/2020,10/6/2020,N,3,5/4/2021,Y,6/9/2021,Y,3,0.01,,
FtK_Cottonwood_Coulee,N,control,2.2,9/9/2020,10/6/2020,N,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,2.4,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,2.6,9/9/2020,10/6/2020,N,0,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,2.8,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,3,9/9/2020,10/6/2020,N,5,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,3.2,9/9/2020,10/6/2020,N,1,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,3.4,9/9/2020,10/6/2020,N,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,3.6,9/9/2020,10/6/2020,N,6,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,3.8,9/9/2020,10/6/2020,N,5,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,4,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,4.2,9/9/2020,10/6/2020,N,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,4.4,9/9/2020,10/6/2020,N,11,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,4.6,9/9/2020,10/6/2020,N,12,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,4.8,9/9/2020,10/6/2020,N,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,5,9/9/2020,10/6/2020,N,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,5.2,9/9/2020,10/6/2020,N,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,5.4,9/9/2020,10/6/2020,N,5,5/4/2021,Y,6/9/2021,Y,17,0.01,,
FtK_Cottonwood_Coulee,N,control,5.6,9/9/2020,10/6/2020,Y,5,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,5.8,9/9/2020,10/6/2020,N,9,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,6,9/9/2020,10/6/2020,N,9,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,6.2,9/9/2020,10/6/2020,N,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,6.4,9/9/2020,10/6/2020,N,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,6.6,9/9/2020,10/6/2020,Y,9,5/4/2021,Y,6/9/2021,Y,10,0.01,,
FtK_Cottonwood_Coulee,N,control,6.8,9/9/2020,10/6/2020,N,7,5/4/2021,Y,6/9/2021,Y,1,0.00,,
FtK_Cottonwood_Coulee,N,control,7,9/9/2020,10/6/2020,N,10,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,7.2,9/9/2020,10/6/2020,Y,1,5/4/2021,Y,6/9/2021,Y,31,0.03,,
FtK_Cottonwood_Coulee,N,control,7.4,9/9/2020,10/6/2020,N,1,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,7.6,9/9/2020,10/6/2020,N,2,5/4/2021,Y,6/9/2021,Y,11,0.00,,
FtK_Cottonwood_Coulee,N,control,7.8,9/9/2020,10/6/2020,Y,10,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,8,9/9/2020,10/6/2020,N,4,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,8.2,9/9/2020,10/6/2020,N,6,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,8.4,9/9/2020,10/6/2020,N,8,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,8.6,9/9/2020,10/6/2020,N,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,8.8,9/9/2020,10/6/2020,N,5,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,9,9/9/2020,10/6/2020,N,3,5/4/2021,Y,6/9/2021,Y,8,0.01,,
FtK_Cottonwood_Coulee,N,control,9.2,9/9/2020,10/6/2020,N,0,5/4/2021,Y,6/9/2021,Y,8,0.01,,
FtK_Cottonwood_Coulee,N,control,9.4,9/9/2020,10/6/2020,Y,2,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,9.6,9/9/2020,10/6/2020,Y,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,9.8,9/9/2020,10/6/2020,Y,3,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,N,control,10,9/9/2020,10/6/2020,Y,1,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,2.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,2.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,2.6,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,2.8,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,3,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,3.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,3.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,3.6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,3.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,4.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,4.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,4.6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,4.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,5,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,5.2,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,5.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,5.6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,5.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,6.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,6.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,6.6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,6.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,E,removal,7,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,2.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,2.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,2.6,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,2.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,3,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,3.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,3.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,3.6,9/9/2020,10/6/2020,Y,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,3.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,4.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,4.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,4.6,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,4.8,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,5,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,5.2,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
FtK_Cottonwood_Coulee,S,removal,5.4,9/9/2020,10/6/2020,N,,5/4/2021,N,6/9/2021,N,0,0.00,,
